ID;EMAIL;FIRSTNAME;LASTNAME;COUNTRY;CREATEON;DELIVERYDATE;ORDERSTATUS;IMAGEURL
72AD846C-0C40-1EDD-B0B9-BD0A7D01D426;e.alexander@randatmail.com;Emily;Alexander;United States;20230314;20230413;1;https://upload.wikimedia.org/wikipedia/commons/e/e3/Logo_Elektro.png
72AD846C-0C40-1EDD-B0B9-BD0A7D01F426;b.adams@randatmail.com;Brad;Adams;Spain;20230315;20230414;1;https://upload.wikimedia.org/wikipedia/commons/5/56/Logo-Promorar.png
72AD846C-0C40-1EDD-B0B9-BD0A7D021426;n.foster@randatmail.com;Naomi;Foster;United States;20230316;20230415;1;https://upload.wikimedia.org/wikipedia/commons/7/76/Logo_qdqmedia.png
72AD846C-0C40-1EDD-B0B9-BD0A7D023426;a.carroll@randatmail.com;Ada;Carroll;Spain;20230317;20230416;2;https://upload.wikimedia.org/wikipedia/commons/0/05/Logo_EPM.png
72AD846C-0C40-1EDD-B0B9-BD0A7D025426;c.evans@randatmail.com;Charlotte;Evans;United States;20230318;20230417;2;https://upload.wikimedia.org/wikipedia/commons/8/8e/Logo_Empresa_Nacional_de_Telecomunicaciones_-_TELECOM.png
72AD846C-0C40-1EDD-B0B9-BD0A7D027426;a.montgomery@randatmail.com;Adam;Montgomery;Spain;20230319;20230418;2;https://upload.wikimedia.org/wikipedia/commons/a/a4/Logo-de-la-empresa-EDESA.jpg
72AD846C-0C40-1EDD-B0B9-BD0A7D029426;j.stewart@randatmail.com;Justin;Stewart;United States;20230320;20230419;3;https://upload.wikimedia.org/wikipedia/commons/8/8d/Wipe_Out_Kids%27_Cancer_%28logo%29.jpg
72AD846C-0C40-1EDD-B0B9-BD0A7D02B426;d.moore@randatmail.com;Dale;Moore;Spain;20230321;20230420;3;https://upload.wikimedia.org/wikipedia/commons/e/ed/LOGO_NOVA_PNG.png
72AD846C-0C40-1EDD-B0B9-BD0A7D02D426;c.phillips@randatmail.com;Caroline;Phillips;United States;20230322;20230421;3;https://upload.wikimedia.org/wikipedia/commons/3/31/Logo_ULM.png
72AD846C-0C40-1EDD-B0B9-BD0A7D02F426;p.ross@randatmail.com;Paige;Ross;Spain;20230323;20230422;4;https://upload.wikimedia.org/wikipedia/commons/d/df/LOGO-SABA-BRAND.png
